name,region,lat,lon,tags
감악산항노화웰니스체험장,경상남도,35.5901644033,127.9199604172,"관광,문화"
감응사(경북),경상북도,35.9347328236,128.3325146302,"관광,문화"
감중공원,인천광역시,37.4932378921,126.6736203249,"관광,문화"
감천계곡,경상남도,35.191908815,128.5126162513,"관광,자연"
감천사(부산),부산광역시,35.1833036953,129.0912632411,"관광,문화"
감추사,강원특별자치도,37.5146783131,129.1265089534,"관광,문화"
감포항,경상북도,35.8078329413,129.5040374805,"관광,자연"
감포해상공원,경상북도,35.8041139317,129.5048652927,"관광,자연"
갑곶돈대,인천광역시,37.7335377029,126.5171140395,"관광,문화"
갑사,충청남도,36.3650187978,127.1875769727,"관광,문화"
갑사계곡,충청남도,36.3691793379,127.1822106747,"관광,자연"
갑오동학혁명 100주년 기념탑,전북특별자치도,35.5097335146,126.9002222297,"관광,문화"
강경 구 연수당 건재 약방,충청남도,36.162022392,127.0184336426,"관광,문화"
강경 중앙초등학교 강당,충청남도,36.1602309428,127.0191725131,"관광,문화"
강경역사문화안내소(구 강경노동조합),충청남도,36.1610252177,127.0146367865,"관광,문화"
강구항 대게거리,경상북도,36.3588462265,129.3913285689,"관광,자연"
강나루생태공원,경상남도,35.3898253912,128.5092306571,"관광,자연"
강남,서울특별시,37.5268958352,127.0270732739,"관광,문화"
강남 마이스 관광특구,서울특별시,37.5118092746,127.0591318945,"관광,문화"
강당골 산촌체험관,충청남도,36.716994812,127.0155023533,"관광,문화"
강당골계곡,충청남도,36.7053240494,127.0221465167,"관광,자연"
강댕이 미륵불,충청남도,36.7778111433,126.6025046578,"관광,문화"
강덕사,전라남도,34.654422834,126.802682706,"관광,문화"
강동 워터파크,경상북도,35.8179335881,129.3056850979,"관광,문화"
강동 해수온천,울산광역시,35.6138565417,129.4505699154,"관광,문화"
강동 화암 주상절리,울산광역시,35.6341985442,129.4424755991,"관광,자연"
강동리조트 프라이빗콘도,경상북도,35.8228050635,129.2952942021,"관광,문화"
