id,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,가평포레스트카라반랜드,경기도 가평군 가평읍 상지로 705-38,,37.7525337095,127.4964712723,2798624,"레포츠,레포츠",,[]
,가평황토은글램핑,경기도 가평군 설악면 장수로79번길 63-18,,37.6077202286,127.5102603464,2740118,"레포츠,레포츠",,[]
,각평낚시터,경기도 이천시 마장면 덕이로154번길 273,,37.2392467362,127.3849461639,2767699,"레포츠,레포츠",,[]
,각흘계곡캠핑장,경기도 포천시 이동면 금강로 6439,,38.0999635673,127.3943453775,2726713,"레포츠,레포츠",,[]
,간현관광지 캠핑장,강원특별자치도 원주시 지정면 소금산길 26,,37.3649459597,127.8325659784,2740119,"레포츠,레포츠",,[]
,갈기산캠핑장,경기도 양평군 청운면 신론새터길 21,,37.5590865541,127.7880587851,2753051,"레포츠,레포츠",,[]
,갈도,경상남도 통영시 욕지면 갈도길,,34.565456425,128.1855223235,131091,"레포츠,레포츠",,[]
,갈론계곡캠핑장,충청북도 괴산군 칠성면 칠성로10길 466-3,,36.7374684801,127.8464660203,2727214,"레포츠,레포츠",,[]
,갈릴리캠핑장,경기도 평택시 안중읍 안중북로 119,,37.0004215882,126.9211614597,2727183,"레포츠,레포츠",,[]
,갈매기배낚시,인천광역시 동구 보세로 6-1,,37.4876876432,126.6229917663,131845,"레포츠,레포츠",,[]
,갈천오토캠핑장,강원특별자치도 양양군 서면 구룡령로 1103-12,,37.9113313987,128.5004281512,2733989,"레포츠,레포츠",,[]
,갈천힐링캠프,강원특별자치도 양양군 구룡령로 1103-41,,37.9073458372,128.5049306436,2908152,"레포츠,레포츠",,[]
,감골시민홀,경기도 안산시 상록구 석호로 226 (사동),,37.2937531552,126.8554148743,3035896,"레포츠,레포츠",,[]
,감귤카트,제주특별자치도 서귀포시 중문관광로 42 (색달동),,33.2549473066,126.4116189256,3030930,"레포츠,레포츠",,[]
,감악산낚시터레저타운,경기도 파주시 적성면 감골길 48,,37.9118746691,126.9523135563,2756569,"레포츠,레포츠",,[]
,감악산캠핑숲,강원특별자치도 원주시 신림면 신림황둔로 714,,37.249487237,128.1402499379,2732999,"레포츠,레포츠",,[]
,강가민박캠핑장,경상남도 거창군 북상면 덕유월성로 2123-15,,35.7803351709,127.8000686996,2722025,"레포츠,레포츠",,[]
,강경수상레져종합타운,충청남도 논산시 강경읍 황산리,,36.1580199355,127.010603893,3036539,"레포츠,레포츠",,[]
,강나루 캠핑장,경상남도 합천군 가회면 서부로 1682,,35.4961880049,128.0247370246,2740128,"레포츠,레포츠",,[]
,강나루오토캠핑장,경상남도 함안군 칠서면 삼칠로 1235-50,,35.3924834192,128.5088972808,2726791,"레포츠,레포츠",,[]
,강남청소년센터,서울특별시 강남구 영동대로131길 26 (청담동),,37.5205165055,127.0540626647,131139,"레포츠,레포츠",,[]
,강당골 캠핑파크,충청남도 아산시 송악면 강당학마을길 17,,36.7166309693,127.0157717834,2726792,"레포츠,레포츠",,[]
,강동그린웨이 가족캠핑장,서울특별시 강동구 천호대로206길 87,,37.5358637478,127.1540697938,1017568,"레포츠,레포츠",,[]
,강동오토캠핑장,울산광역시 북구 당사동 87,,35.5996444939,129.4634191981,2792600,"레포츠,레포츠",,[]
,강릉 금진리321카라반,강원특별자치도 강릉시 옥계면 헌화로 247-11,,37.6374069839,129.0437959191,2792194,"레포츠,레포츠",,[]
,강릉 노추산힐링캠프,강원특별자치도 강릉시 왕산면 노추산로 1271-6,,37.5716226031,128.741850081,2755549,"레포츠,레포츠",,[]
,강릉 올림픽파크,강원특별자치도 강릉시 수리골길 76,,37.7771240815,128.8970436876,2525011,"레포츠,레포츠",,[]
,강릉경포카라반파크,강원특별자치도 강릉시 사천면 해안로 904-14,,37.83237561,128.87601887,2726717,"레포츠,레포츠",,[]
,강릉시인라인스케이팅장,강원특별자치도 강릉시 종합운동장길 72-25 (교동),,37.7727078531,128.8933108266,3069525,"레포츠,레포츠",,[]
,강릉아이스링크,강원특별자치도 강릉시 종합운동장길 32,,37.7737771598,128.8925858597,2553644,"레포츠,레포츠",,[]
,강릉여행 굿캠핑,강원특별자치도 강릉시 사천면 해안로 904-8,,37.8315757068,128.87624943,2753005,"레포츠,레포츠",,[]
,강변 야영장,강원특별자치도 인제군 북면 만해로 237,,38.1927675782,128.3280184696,2762766,"레포츠,레포츠",,[]
,강변글램핑,경기도 김포시 금포로 1202 (운양동),,37.6517588201,126.7008800686,2909820,"레포츠,레포츠",,[]
,강변사리마을캠핑장,전북특별자치도 임실군 덕치면 강동로 865-20,,35.4952429034,127.1900274504,2726718,"레포츠,레포츠",,[]
,강변축구장,대구광역시 북구 서변동,,35.909018251,128.5903731451,3089910,"레포츠,레포츠",,[]
,강변캠핑장,충청북도 괴산군 괴산읍 충민로 317,,36.820697724,127.8414974491,2726720,"레포츠,레포츠",,[]
,강사랑래프팅,강원특별자치도 영월군 영월읍 동강로 878,,37.2366374137,128.5133779016,131970,"레포츠,레포츠",,[]
,강산에 레포츠,충청북도 단양군 영춘면 북벽길 51-16,,37.0842184799,128.4946063127,3014111,"레포츠,레포츠",,[]
,강서청소년회관,서울특별시 강서구 공항대로42길 23-19,,37.556480792,126.8442724314,131140,"레포츠,레포츠",,[]
,강원 정선 도원펜션,강원특별자치도 정선군 어도원길 165,,37.4392161988,128.6251923589,2912325,"레포츠,레포츠",,[]
,강원도 세계잼버리 수련장,강원특별자치도 고성군 토성면 잼버리로 244,,38.2226840374,128.4976743306,131169,"레포츠,레포츠",,[]
,강원도자연학습원,강원특별자치도 원주시 소초면 구룡사로 451,,37.4038955557,128.0528060678,131168,"레포츠,레포츠",,[]
,강원도힐링캠핑장,강원특별자치도 원주시 신림면 재사동길 10-38,,37.2457102234,128.1577984696,2734136,"레포츠,레포츠",,[]
,강원랜드 카지노,강원특별자치도 정선군 사북읍 하이원길 265,,37.2127210495,128.8216009997,131676,"레포츠,레포츠",,[]
,강원특별자치도청소년수련원,강원특별자치도 춘천시 신샘밭로 89,,37.9225569719,127.7204153141,131456,"레포츠,레포츠",,[]
,강원평화누리길 10코스 양구 두타연길,강원특별자치도 양구군 양구읍 관공서로 38,,38.110048539,127.9900212289,2739487,"레포츠,레포츠",,[]
,강원평화누리길 11코스 양구 돌산령길,강원특별자치도 양구군 양구읍 관공서로 38,,38.110048539,127.9900212289,2741505,"레포츠,레포츠",,[]
,강원평화누리길 12코스 양구 펀치볼길,강원특별자치도 양구군 양구읍 관공서로 38,,38.110048539,127.9900212289,2742118,"레포츠,레포츠",,[]
,강원평화누리길 13코스 인제 서화길,강원특별자치도 인제군 인제읍 인제로187번길 8,,38.0697872124,128.1703754777,2743760,"레포츠,레포츠",,[]
