name,region,lat,lon,contentid,tags,keywords
가문이오름(감은이오름),제주특별자치도,33.4018299117,126.6876111209,1884505,"관광,자연","화산,돌담,오름,관광,자연"
가사해수욕장,전라남도,34.370487281,126.9281702396,1916695,"관광,자연","바다,해변,물놀이,여름,해수욕,모래,자연,여행,관광"
가산사,충청북도,36.4015885618,127.5973920906,294369,"관광,문화","등산,하이킹,자연,운동,경치,여행,관광,문화"
가산산성마을,경상북도,36.0501079498,128.597812985,2629074,"관광,문화","등산,하이킹,자연,운동,경치,역사,문화재,전통,방어,마을,여행,관광,문화"
가산서원,전라남도,35.2313226604,126.6931003984,1957336,"관광,문화","등산,하이킹,자연,운동,경치,서원,교육,유교,역사,전통,여행,관광,문화"
가산수변공원,경상남도,35.295064808,129.0178748959,2784347,"관광,문화","등산,하이킹,자연,운동,경치,공원,산책,휴식,녹지,여행,관광,문화"
가산수피아,경상북도,36.0861545517,128.4850691574,2633896,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
가새기오름,제주특별자치도,33.4893700755,126.5038611983,1884521,"관광,자연","화산,돌담,오름,관광,자연"
가섭사,충청북도,36.96663397,127.7030557496,294390,"관광,문화","자연,여행,관광,문화"
가세오름,제주특별자치도,33.3931758821,126.7231832338,1885746,"관광,자연","화산,돌담,오름,관광,자연"
가시리국산화풍력발전단지,제주특별자치도,33.3939370848,126.7341100468,3026711,"관광,문화","등산,하이킹,자연,운동,경치,화산,돌담,오름,관광,문화"
가시오름,제주특별자치도,33.2236315617,126.2500169782,1885754,"관광,자연","화산,돌담,오름,관광,자연"
가실벚꽃길,경기도,37.2938508782,127.1950173777,3023389,"관광,문화","자연,공원,문화,관광"
가실성당,경상북도,35.9363922928,128.4048776375,2513971,"관광,문화","역사,문화재,전통,방어,자연,여행,관광,문화"
가야공원,부산광역시,35.1483453258,129.0276891748,2788410,"관광,자연","공원,자연,산책,휴식,녹지,운동,바다,해변,항구,관광"
가야금산조테마공원,전라남도,34.7919693222,126.6856118867,2732489,"관광,문화","등산,하이킹,자연,운동,경치,공원,산책,휴식,녹지,여행,관광,문화"
가야금신조기념관,전라남도,34.7919693222,126.6856118867,3459087,"관광,문화","자연,여행,관광,문화"
가야산 소리길,경상남도,35.7759415388,128.1273204393,2414679,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
가야산 야생화식물원,경상북도,35.80312761,128.1418573045,129212,"관광,자연","등산,하이킹,자연,운동,경치,식물,교육,산책,힐링,여행,관광"
가야산(서산),충청남도,36.7039864327,126.6091060355,125822,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
가야산국립공원(백운동 지구),경상북도,35.8002612681,128.1418796034,126023,"관광,자연","등산,하이킹,자연,운동,경치,공원,산책,휴식,녹지,여행,관광"
가야산생태탐방원,경상북도,35.8341354231,128.1537831839,2784167,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
가야의 거리,경상남도,35.2392795268,128.8739750841,250121,"관광,문화","거리,자연,여행,관광,문화"
가왕 송흥록·국창 박초월 생가,전북특별자치도,35.4575758647,127.5626899062,2788127,"관광,문화","자연,전통,관광,문화"
가우도 모노레일,전라남도,34.5339749368,126.7847455361,3006493,"관광,문화","자연,여행,관광,문화"
가우도 출렁다리,전라남도,34.5288669609,126.7717356912,2514003,"관광,문화","다리,건축,경관,도시,교통,자연,여행,관광,문화"
가원습지 생태자연공원,강원특별자치도,37.4736521046,129.1070564038,2714889,"관광,자연","공원,자연,산책,휴식,녹지,운동,설악산,스키,관광"
가을동화 감귤밭,제주특별자치도,33.2556272247,126.5518123101,3410648,"관광,문화","화산,돌담,오름,관광,문화"
가의도,충청남도,36.6761471358,126.0727080861,125848,"관광,자연","자연,여행,관광"
가인 김병로 생가터,전북특별자치도,35.4505693165,126.9774224423,2357441,"관광,문화","자연,전통,관광,문화"
가장마을,전북특별자치도,35.4101221138,127.5179339854,2793231,"관광,문화","마을,자연,전통,관광,문화"
가제산,충청남도,36.8646346339,126.2905250464,3034222,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
가조 백두산천지온천,경상남도,35.6985345364,128.0229317531,127956,"관광,문화","온천,힐링,휴양,치유,온수,등산,하이킹,자연,운동,경치,여행,관광,문화"
가조도선착장,경상남도,34.9285746891,128.5261915327,2754996,"관광,자연","자연,여행,관광"
가족문화센터,울산광역시,35.5319960593,129.2905556337,130523,"관광,문화","공업,바다,해안,관광,문화"
가지산도립공원(밀양),경상남도,35.5803348234,128.9804563782,126027,"관광,자연","등산,하이킹,자연,운동,경치,공원,산책,휴식,녹지,여행,관광"
가진항,강원특별자치도,38.3682229327,128.5133183548,2514820,"관광,자연","설악산,스키,관광,자연"
가진해변,강원특별자치도,38.3740166097,128.5086047131,126785,"관광,자연","바다,해변,물놀이,여름,해수욕,모래,설악산,스키,관광,자연"
가창 찐빵 골목,대구광역시,35.8027142041,128.622223298,2034446,"관광,문화","문화,역사,도심,관광"
가천 다랭이마을,경상남도,34.7279803963,127.8943963083,127778,"관광,문화","마을,자연,여행,관광,문화"
가탄마을,경상남도,35.1951401371,127.6380178715,2785941,"관광,문화","마을,자연,여행,관광,문화"
가파도 소망전망대,제주특별자치도,33.1688017961,126.2688165585,3344437,"관광,문화","전망대,경치,조망,풍경,경관,화산,돌담,오름,관광,문화"
가파마을,충청남도,36.4978037404,126.8800510114,128418,"관광,문화","마을,자연,여행,관광,문화"
가평 아홉마지기마을,경기도,37.8475697154,127.4877442849,630461,"관광,문화","마을,자연,공원,문화,관광"
가평 연인산마을,경기도,37.9014296489,127.4626644345,129285,"관광,문화","등산,하이킹,자연,운동,경치,마을,공원,문화,관광"
가평 영양잣마을,경기도,37.7741593259,127.3645382139,129407,"관광,문화","마을,자연,공원,문화,관광"
가평 현충탑,경기도,37.8126354086,127.5157483134,1104176,"관광,문화","자연,공원,문화,관광"
가평베고니아새정원,경기도,37.6847254326,127.524154066,3512952,"관광,자연","정원,자연,공원,문화,관광"
가평별묘,경기도,37.6196823854,127.4915450327,1201082,"관광,문화","자연,공원,문화,관광"
가평학도의용대 참전비,경기도,37.8248171919,127.5085736093,1283850,"관광,문화","자연,공원,문화,관광"
가포수변공원,경상남도,35.1552892222,128.5842831951,2783808,"관광,문화","공원,자연,산책,휴식,녹지,운동,여행,관광,문화"
가포해안변공원,경상남도,35.1575501862,128.5901742863,2864214,"관광,문화","공원,자연,산책,휴식,녹지,운동,해안,여행,관광,문화"
가학산,전라남도,34.1522183506,126.6593100914,799819,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
가호서원,경상남도,35.1664473205,128.3325771223,1959464,"관광,문화","서원,교육,유교,역사,전통,자연,여행,관광,문화"
가회동성당,서울특별시,37.5820858828,126.9846616856,2733967,"관광,문화","역사,문화재,전통,방어,문화,공원,관광"
각골공원,경기도,37.2914704176,126.8741021292,2863978,"관광,문화","공원,자연,산책,휴식,녹지,운동,문화,관광"
각사산촌생태마을,경상남도,35.7729976524,128.1397749758,538472,"관광,문화","등산,하이킹,자연,운동,경치,마을,여행,관광,문화"
각산,경상남도,34.9434368938,128.0571209743,129537,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
각시바위오름,제주특별자치도,33.2777271543,126.5259918298,1887368,"관광,자연","화산,돌담,오름,관광,자연"
각연사(괴산),충청북도,36.7543041419,127.9274860663,127241,"관광,문화","등산,하이킹,자연,운동,경치,여행,관광,문화"
간곡서원,충청남도,36.1825403583,126.90839295,1956297,"관광,문화","서원,교육,유교,역사,전통,자연,여행,관광,문화"
간데메공원,서울특별시,37.5728353382,127.0490783005,2763807,"관광,문화","공원,자연,산책,휴식,녹지,운동,문화,역사,관광"
간송옛집,서울특별시,37.6649464754,127.0282025819,3483083,"관광,문화","문화,역사,공원,관광"
간월도 어리굴젓 기념탑,충청남도,36.6097467485,126.416512046,129181,"관광,문화","자연,여행,관광,문화"
간월도마을,충청남도,36.6192846446,126.4227029018,129045,"관광,문화","마을,자연,여행,관광,문화"
간월산,울산광역시,35.5561610255,129.0480650268,128213,"관광,자연","등산,하이킹,자연,운동,경치,공업,바다,해안,관광"
간월산 자연휴양림,울산광역시,35.5671043874,129.0560529115,128205,"관광,자연","등산,하이킹,자연,운동,경치,공업,바다,해안,관광"
간월암(서산),충청남도,36.6038362307,126.4114209947,125880,"관광,문화","등산,하이킹,자연,운동,경치,여행,관광,문화"
간월재,울산광역시,35.5482424218,129.0453821487,2723688,"관광,자연","공업,바다,해안,관광,자연"
간이해변,강원특별자치도,38.204182519,128.5946244301,3041720,"관광,자연","바다,해변,물놀이,여름,해수욕,모래,설악산,스키,관광,자연"
간재선생유지,전북특별자치도,35.7943022476,126.63718561,1608562,"관광,문화","자연,전통,관광,문화"
간절곶,울산광역시,35.3589668021,129.3605738299,128022,"관광,자연","사찰,불교,문화,역사,전통,종교,공업,바다,해안,관광,자연"
간절곶 소망길,울산광역시,35.3546337414,129.3492110511,2610509,"관광,자연","사찰,불교,문화,역사,전통,종교,공업,바다,해안,관광,자연"
간절곶소망우체통,울산광역시,35.3588057199,129.3611487843,2871546,"관광,문화","사찰,불교,문화,역사,전통,종교,공업,바다,해안,관광"
간현관광지,강원특별자치도,37.3646293574,127.8340575195,126644,"관광,문화","설악산,스키,관광,문화"
갈거계곡,전북특별자치도,35.9085419668,127.4377085322,129681,"관광,자연","계곡,자연,여름,피서,청량,전통,관광"
갈계숲,경상남도,35.7789272818,127.8160256582,1577238,"관광,자연","자연,여행,관광"
갈기산,충청북도,36.112113826,127.6280083624,127781,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
갈남항,강원특별자치도,37.2807757781,129.3251150597,2715990,"관광,자연","설악산,스키,관광,자연"
갈두마을(땅끝마을),전라남도,34.2998052878,126.5285847288,129024,"관광,문화","마을,자연,여행,관광,문화"
갈두천권역마을,충청남도,36.7988972173,126.2574770059,2629105,"관광,문화","교통,여행,출발점,연결,마을,자연,관광,문화"
갈론계곡,충청북도,36.7344745015,127.8531905026,753397,"관광,자연","계곡,자연,여름,피서,청량,여행,관광"
갈마공원,대전광역시,36.3571340745,127.3721884377,3074319,"관광,문화","공원,자연,산책,휴식,녹지,운동,과학,문화,도심,관광"
갈마못(갈뫼못),제주특별자치도,33.3873529469,126.8116979172,1887381,"관광,자연","화산,돌담,오름,관광,자연"
갈매구릉산자락길,경기도,37.6280830442,127.1238754676,3447845,"관광,문화","등산,하이킹,자연,운동,경치,공원,문화,관광"
갈매중앙공원,경기도,37.6311631455,127.1185814171,3007381,"관광,문화","공원,자연,산책,휴식,녹지,운동,문화,관광"
갈멜정원,전라남도,34.7020883495,127.0538844612,3018842,"관광,자연","정원,자연,여행,관광"
갈모봉 산림욕장,경상남도,34.9718346636,128.2676407226,2613159,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
갈산공원,서울특별시,37.5061176314,126.8684105358,1116925,"관광,문화","등산,하이킹,자연,운동,경치,공원,산책,휴식,녹지,문화,역사,관광"
갈산공원,경기도,37.4836871538,127.4973262186,2755829,"관광,자연","등산,하이킹,자연,운동,경치,공원,산책,휴식,녹지,문화,관광"
갈음이해수욕장,충청남도,36.6957489937,126.1520087212,127311,"관광,자연","바다,해변,물놀이,여름,해수욕,모래,자연,여행,관광"
갈천서원,경상남도,35.0480785952,128.2510123914,1959468,"관광,문화","서원,교육,유교,역사,전통,자연,여행,관광,문화"
갈천약수터,강원특별자치도,37.9058931889,128.5029086488,127535,"관광,자연","설악산,스키,관광,자연"
갈현체육공원,인천광역시,37.5777207077,126.7285768374,3061205,"관광,문화","공원,자연,산책,휴식,녹지,운동,바다,공항,관광,문화"
감낭오름,제주특별자치도,33.3250274801,126.3497088457,1887493,"관광,자연","화산,돌담,오름,관광,자연"
감로암(서울),서울특별시,37.5753815016,127.0066515383,294439,"관광,문화","문화,역사,공원,관광"
감못(부지),경상북도,35.835102108,128.7670624312,3351911,"관광,문화","자연,여행,관광,문화"
감사공묘역,제주특별자치도,33.5129949735,126.6611469938,3082301,"관광,문화","교통,여행,출발점,연결,화산,돌담,오름,관광,문화"
감삼못공원,대구광역시,35.8586426972,128.5522334637,1118418,"관광,문화","공원,자연,산책,휴식,녹지,운동,문화,역사,도심,관광"
감성공작소,강원특별자치도,37.4423790237,129.1631079016,2820184,"관광,문화","역사,문화재,전통,방어,설악산,스키,관광,문화"
감수굴 밭담길,제주특별자치도,33.5310570194,126.8432807691,3056401,"관광,문화","화산,돌담,오름,관광,문화"
감악산 출렁다리,경기도,37.9390158074,126.9446579202,2569511,"관광,문화","등산,하이킹,자연,운동,경치,다리,건축,경관,도시,교통,공원,문화,관광"
감악산(거창),경상남도,35.5964221995,127.9295566252,1576464,"관광,자연","등산,하이킹,자연,운동,경치,여행,관광"
감악산항노화웰니스체험장,경상남도,35.5901644033,127.9199604172,2755857,"관광,문화","등산,하이킹,자연,운동,경치,체험,교육,활동,참여,학습,여행,관광,문화"
감응사(경북),경상북도,35.9347328236,128.3325146302,294441,"관광,문화","자연,여행,관광,문화"
감중공원,인천광역시,37.4932378921,126.6736203249,2767573,"관광,문화","공원,자연,산책,휴식,녹지,운동,바다,공항,관광,문화"
감천계곡,경상남도,35.191908815,128.5126162513,3070550,"관광,자연","계곡,자연,여름,피서,청량,여행,관광"
감천사(부산),부산광역시,35.1833036953,129.0912632411,294452,"관광,문화","등산,하이킹,자연,운동,경치,바다,해변,항구,관광,문화"
감추사,강원특별자치도,37.5146783131,129.1265089534,2735620,"관광,문화","설악산,스키,관광,문화"
감포항,경상북도,35.8078329413,129.5040374805,128677,"관광,자연","자연,여행,관광"
감포해상공원,경상북도,35.8041139317,129.5048652927,3090394,"관광,자연","공원,자연,산책,휴식,녹지,운동,여행,관광"
갑곶돈대,인천광역시,37.7335377029,126.5171140395,1254680,"관광,문화","바다,공항,관광,문화"
갑사,충청남도,36.3650187978,127.1875769727,125891,"관광,문화","자연,여행,관광,문화"
갑사계곡,충청남도,36.3691793379,127.1822106747,125833,"관광,자연","계곡,자연,여름,피서,청량,여행,관광"
갑오동학혁명 100주년 기념탑,전북특별자치도,35.5097335146,126.9002222297,1625103,"관광,문화","자연,전통,관광,문화"
강경 구 연수당 건재 약방,충청남도,36.162022392,127.0184336426,946216,"관광,문화","자연,여행,관광,문화"
강경 중앙초등학교 강당,충청남도,36.1602309428,127.0191725131,946451,"관광,문화","다리,건축,경관,도시,교통,자연,여행,관광,문화"
강경역사문화안내소(구 강경노동조합),충청남도,36.1610252177,127.0146367865,946712,"관광,문화","교통,여행,출발점,연결,자연,관광,문화"
강구항 대게거리,경상북도,36.3588462265,129.3913285689,988459,"관광,자연","거리,자연,여행,관광"
강나루생태공원,경상남도,35.3898253912,128.5092306571,2712922,"관광,자연","공원,자연,산책,휴식,녹지,운동,여행,관광"
강남,서울특별시,37.5268958352,127.0270732739,264570,"관광,문화","문화,역사,공원,관광"
강남 마이스 관광특구,서울특별시,37.5118092746,127.0591318945,2456536,"관광,문화","문화,역사,공원,관광"
강당골 산촌체험관,충청남도,36.716994812,127.0155023533,801339,"관광,문화","등산,하이킹,자연,운동,경치,체험,교육,활동,참여,학습,여행,관광,문화"
강당골계곡,충청남도,36.7053240494,127.0221465167,125831,"관광,자연","계곡,자연,여름,피서,청량,여행,관광"
강댕이 미륵불,충청남도,36.7778111433,126.6025046578,129132,"관광,문화","자연,여행,관광,문화"
강덕사,전라남도,34.654422834,126.802682706,1957338,"관광,문화","자연,여행,관광,문화"
강동 워터파크,경상북도,35.8179335881,129.3056850979,2044527,"관광,문화","자연,여행,관광,문화"
강동 해수온천,울산광역시,35.6138565417,129.4505699154,1624227,"관광,문화","온천,힐링,휴양,치유,온수,공업,바다,해안,관광,문화"
강동 화암 주상절리,울산광역시,35.6341985442,129.4424755991,772462,"관광,자연","사찰,불교,문화,역사,전통,종교,공업,바다,해안,관광,자연"
강동리조트 프라이빗콘도,경상북도,35.8228050635,129.2952942021,2756802,"관광,문화","자연,여행,관광,문화"
강동몽돌해변 (정자해변),울산광역시,35.6278381472,129.4423980082,128199,"관광,자연","바다,해변,물놀이,여름,해수욕,모래,공업,해안,관광,자연"
강동예찬시비,서울특별시,37.5426290283,127.1207892964,127377,"관광,문화","문화,역사,공원,관광"
강따라 방림 가는길,강원특별자치도,37.4496840341,128.4586570232,2799025,"관광,자연","설악산,스키,관광,자연"
강릉 3.1운동 기념공원,강원특별자치도,37.7972995865,128.9002177764,2900682,"관광,문화","공원,자연,산책,휴식,녹지,운동,설악산,스키,관광,문화"
강릉 경포대,강원특별자치도,37.7955691591,128.8965126086,125790,"관광,문화","설악산,스키,관광,문화"
강릉 굴산사지,강원특별자치도,37.7072681694,128.8918046506,125769,"관광,문화","등산,하이킹,자연,운동,경치,설악산,스키,관광,문화"
강릉 남산공원,강원특별자치도,37.7480551515,128.8934282457,3022373,"관광,문화","등산,하이킹,자연,운동,경치,공원,산책,휴식,녹지,설악산,스키,관광,문화"
강릉 녹색도시체험센터,강원특별자치도,37.7879702339,128.906528608,2465063,"관광,문화","체험,교육,활동,참여,학습,도시,설악산,스키,관광,문화"
강릉 대기리마을,강원특별자치도,37.5883185884,128.7776435739,128293,"관광,문화","마을,설악산,스키,관광,문화"
강릉 대도호부 관아,강원특별자치도,37.7532767444,128.8921226461,2605187,"관광,문화","설악산,스키,관광,문화"
강릉 메타버스 체험관,강원특별자치도,37.7879702339,128.906528608,3507377,"관광,문화","체험,교육,활동,참여,학습,체험관,설악산,스키,관광,문화"
강릉 모래내 한과마을(갈골한과),강원특별자치도,37.8138296931,128.8328344506,1086405,"관광,문화","마을,설악산,스키,관광,문화"
강릉 방동리 무궁화,강원특별자치도,37.8274342795,128.8639367794,3069504,"관광,자연","궁궐,역사,조선,문화재,전통,설악산,스키,관광,자연"
강릉 복사꽃마을,강원특별자치도,37.8801348222,128.7773762919,128359,"관광,문화","마을,설악산,스키,관광,문화"
강릉 선교장,강원특별자치도,37.7865588677,128.8850778068,125800,"관광,문화","다리,건축,경관,도시,교통,설악산,스키,관광,문화"
강릉 솔향수목원,강원특별자치도,37.6979158879,128.8617409792,2414769,"관광,자연","식물,자연,교육,산책,힐링,설악산,스키,관광"
강릉 안목해맞이공원,강원특별자치도,37.7743308995,128.9451477738,2706354,"관광,문화","공원,자연,산책,휴식,녹지,운동,설악산,스키,관광,문화"
강릉 오금집,강원특별자치도,37.7563708685,128.8940418219,2702581,"관광,문화","설악산,스키,관광,문화"
강릉 오죽헌,강원특별자치도,37.7787651808,128.8776814918,125789,"관광,문화","설악산,스키,관광,문화"
강릉 월화거리,강원특별자치도,37.7559015445,128.8974470859,2588752,"관광,문화","거리,설악산,스키,관광,문화"
강릉 임영관 삼문,강원특별자치도,37.7531378647,128.8917699042,125788,"관광,문화","설악산,스키,관광,문화"
강릉 통일공원,강원특별자치도,37.7204603916,128.9984085388,126898,"관광,문화","공원,자연,산책,휴식,녹지,운동,설악산,스키,관광,문화"
강릉 한복 문화 창작소,강원특별자치도,37.7588151581,128.9006133766,3379937,"관광,문화","설악산,스키,관광,문화"
강릉 한울타리마을,강원특별자치도,37.6128390281,128.9747778772,128360,"관광,문화","마을,설악산,스키,관광,문화"
강릉 해살이마을,강원특별자치도,37.7929261321,128.8109759564,129337,"관광,문화","마을,설악산,스키,관광,문화"
강릉 해운정,강원특별자치도,37.7862090263,128.8911356052,129584,"관광,문화","설악산,스키,관광,문화"
강릉수월래,강원특별자치도,37.7690162327,128.8737571477,3050590,"관광,문화","설악산,스키,관광,문화"
강릉시강남축구공원,강원특별자치도,37.7418033471,128.9062745042,3406885,"관광,문화","공원,자연,산책,휴식,녹지,운동,설악산,스키,관광,문화"
강릉아기동물농장,강원특별자치도,37.8462598232,128.8611225614,2804474,"관광,문화","설악산,스키,관광,문화"
강릉아트센터,강원특별자치도,37.7716996777,128.8954273345,2774698,"관광,문화","설악산,스키,관광,문화"
강릉안반데기관광농원,강원특별자치도,37.6087932748,128.7400518871,2930702,"관광,문화","설악산,스키,관광,문화"
강릉커피거리,강원특별자치도,37.7726505813,128.9473504054,2414791,"관광,문화","거리,설악산,스키,관광,문화"
강릉향교,강원특별자치도,37.7635561721,128.8952470467,125787,"관광,문화","서원,교육,유교,역사,전통,다리,건축,경관,도시,교통,설악산,스키,관광,문화"
강문솟대다리,강원특별자치도,37.7985635711,128.9126221751,2721544,"관광,문화","다리,건축,경관,도시,교통,설악산,스키,관광,문화"
강문해변,강원특별자치도,37.7948530151,128.9190439335,585522,"관광,자연","바다,해변,물놀이,여름,해수욕,모래,설악산,스키,관광,자연"
강변공원,경상북도,36.1289257958,128.0905362439,2753909,"관광,문화","공원,자연,산책,휴식,녹지,운동,여행,관광,문화"
강변스파랜드,서울특별시,37.5349377239,127.0913227521,128961,"관광,문화","온천,힐링,휴양,치유,온수,문화,역사,공원,관광"
강변저류지,강원특별자치도,37.1802648936,128.4483742907,2702651,"관광,자연","설악산,스키,관광,자연"
강변조각공원,경상북도,36.1301455758,128.1166227847,2753912,"관광,문화","공원,자연,산책,휴식,녹지,운동,여행,관광,문화"
강상체육공원,경기도,37.4832897707,127.4859661494,2765231,"관광,문화","공원,자연,산책,휴식,녹지,운동,문화,관광"
강서역사문화거리,서울특별시,37.5722343802,126.8366643489,3043735,"관광,문화","교통,여행,출발점,연결,거리,문화,역사,공원,관광"
강서체육공원,부산광역시,35.2078571105,128.9738950093,3015292,"관광,문화","공원,자연,산책,휴식,녹지,운동,바다,해변,항구,관광,문화"
강서한강공원,서울특별시,37.5860935311,126.8171601831,2733968,"관광,문화","공원,자연,산책,휴식,녹지,운동,문화,역사,관광"
강씨봉 자연휴양림,경기도,37.9700067673,127.4083868175,2774103,"관광,자연","등산,하이킹,자연,운동,경치,공원,문화,관광"
강아지숲,강원특별자치도,37.7364886333,127.6620400154,2705409,"관광,문화","설악산,스키,관광,문화"
강영천효자문,경기도,37.9689765715,127.4214078804,1201163,"관광,문화","자연,공원,문화,관광"
강원 경찰충혼탑,강원특별자치도,37.9167408445,127.7130161606,128778,"관광,문화","설악산,스키,관광,문화"
강원 영월 김삿갓면 [슬로시티],강원특별자치도,37.1256818109,128.5701372137,1857095,"관광,문화","설악산,스키,관광,문화"
강원숲체험장,강원특별자치도,37.9630563077,127.6397214646,2610850,"관광,문화","체험,교육,활동,참여,학습,설악산,스키,관광,문화"
강원특별자치도 탄광문화촌,강원특별자치도,37.2631362582,128.4669118411,895963,"관광,문화","설악산,스키,관광,문화"
강원특별자치도립화목원,강원특별자치도,37.9233347533,127.7254731639,127433,"관광,자연","설악산,스키,관광,자연"
강정고령보,대구광역시,35.8411597415,128.4650416326,2704116,"관광,문화","문화,역사,도심,관광"
강정천,제주특별자치도,33.2566620021,126.474738413,127050,"관광,자연","화산,돌담,오름,관광,자연"
강진 갯들소리마을,전라남도,34.4985032699,126.7458720283,801871,"관광,문화","마을,자연,여행,관광,문화"
강진 백련사 동백나무 숲,전라남도,34.5876738723,126.7486001914,1624429,"관광,자연","자연,여행,관광"
강진 오감통,전라남도,34.6391324006,126.773588414,2515789,"관광,문화","자연,여행,관광,문화"
강진다원,전라남도,34.7409031836,126.7061613195,128151,"관광,문화","자연,여행,관광,문화"
강진만,전라남도,34.595223382,126.770150892,126645,"관광,자연","자연,여행,관광"
강진영랑생가,전라남도,34.6421930307,126.7652918469,127111,"관광,문화","자연,여행,관광,문화"
강진향교,전라남도,34.6503616614,126.7714883256,1624164,"관광,문화","서원,교육,유교,역사,전통,다리,건축,경관,도시,교통,자연,여행,관광,문화"
강천사 모과나무,전북특별자치도,35.3987570781,127.0556862716,2357460,"관광,자연","자연,전통,관광"
강천사(순창),전북특별자치도,35.3984154482,127.0555668463,126347,"관광,문화","자연,전통,관광,문화"
강천사(제천),충청북도,37.206525119,128.2669759133,527227,"관광,문화","자연,여행,관광,문화"
강천사계곡,전북특별자치도,35.3984987787,127.0559612538,1625118,"관광,자연","계곡,자연,여름,피서,청량,전통,관광"
강천산휴양농원,전북특별자치도,35.4277205858,127.0627071317,127651,"관광,문화","등산,하이킹,자연,운동,경치,전통,관광,문화"
강촌 출렁다리공원,강원특별자치도,37.813601407,127.6358095763,2706334,"관광,문화","공원,자연,산책,휴식,녹지,운동,다리,건축,경관,도시,교통,설악산,스키,관광,문화"
강촌유원지,강원특별자치도,37.8157038798,127.6325486998,125605,"관광,문화","설악산,스키,관광,문화"
강하예술공원,경기도,37.498750559,127.4144027534,2773394,"관광,문화","공원,자연,산책,휴식,녹지,운동,문화,관광"
강하체육공원,경기도,37.4966119139,127.4141833901,2765225,"관광,문화","공원,자연,산책,휴식,녹지,운동,문화,관광"
강한사,경기도,37.2991248935,127.6331386778,1955953,"관광,문화","자연,공원,문화,관광"
강화 갑곶리 탱자나무,인천광역시,37.7541460175,126.4948543916,1619788,"관광,자연","바다,공항,관광,자연"
강화 고인돌 유적 [유네스코 세계유산],인천광역시,37.7734344221,126.4374730037,125565,"관광,문화","등산,하이킹,자연,운동,경치,유적,역사,고고학,문화재,발굴,바다,공항,관광,문화"
강화 달빛동화마을,인천광역시,37.6803032508,126.416496966,800798,"관광,문화","마을,바다,공항,관광,문화"
