name,region,lat,lon,contentid,image_url,tags,menu,open_time,rest_date,parking,reservation,packaging,detailed_keywords,keywords
가정초밥 효자점,경상북도,36.0081292442,129.3304969099,2839132,,"관광,음식점",,,,,,,[],
가조가마솥육개장순두부,경상남도,35.7105164331,128.0184540475,2837554,,"관광,음식점",,,,,,,[],
가조도 어부횟집,경상남도,34.9303105965,128.5256359795,2910349,,"관광,음식점",,,,,,,[],
가조쿠,서울특별시,37.5432832891,127.0531343258,2901229,,"관광,음식점",,,,,,,[],
가족마당,전북특별자치도,35.9047480294,127.7554693059,135563,,"관광,음식점",,,,,,,[],
가족회관,광주광역시,35.1513384003,126.925962342,3424150,,"관광,음식점",,,,,,,[],
가지산언양불고기,울산광역시,35.5655835584,129.1215777814,2852552,,"관광,음식점",,,,,,,[],
가쯔돈까스,경상북도,36.5585214394,128.6994311639,2687839,,"관광,음식점",,,,,,,[],
가쯔야,서울특별시,37.5678958128,126.9817290217,2652903,,"관광,음식점",,,,,,,[],
가창닭갈비,대구광역시,35.7655411302,128.6493913845,2841662,,"관광,음식점",,,,,,,[],
가츠잇,경기도,37.6698221165,126.7857412479,2874859,,"관광,음식점",,,,,,,[],
가치커피,전라남도,34.7532678677,127.6556831987,2923449,,"관광,음식점",,,,,,,[],
가평냉면 부손 설악본점,경기도,37.6781252532,127.4727422665,2781442,,"관광,음식점",,,,,,,[],
가평달맞이빵,경기도,37.7664879947,127.3644412231,2774105,,"관광,음식점",,,,,,,[],
가평양떼목장카페,경기도,37.6438875816,127.4737542806,2724858,,"관광,음식점",,,,,,,[],
가평카페109,경기도,37.7747202904,127.3600913802,3083766,,"관광,음식점",,,,,,,[],
가포영도장어구이전문점,경상남도,35.1691569073,128.5730615806,2844175,,"관광,음식점",,,,,,,[],
가포옛날영도집,경상남도,35.1692152309,128.5728977044,2756705,,"관광,음식점",,,,,,,[],
가현산 잔치국수,인천광역시,37.6305882921,126.6573818608,2844590,,"관광,음식점",,,,,,,[],
가회동샤브칼국수 송도컨벤시아점,인천광역시,37.3900244069,126.6466173186,2853680,,"관광,음식점",,,,,,,[],
각시보쌈,서울특별시,37.5475858397,126.9134774828,2853860,,"관광,음식점",,,,,,,[],
간사이,대전광역시,36.3550393035,127.3402552404,2912774,,"관광,음식점",,,,,,,[],
간양길카페,충청남도,36.7252580417,126.8740593242,2877406,,"관광,음식점",,,,,,,[],
간절곶 돌문어,울산광역시,35.3471091228,129.324516188,2848971,,"관광,음식점",,,,,,,[],
간절곶 보광 보리밥 손칼국수,울산광역시,35.3459146391,129.3153142444,2848966,,"관광,음식점",,,,,,,[],
간절곶관광회센터,울산광역시,35.3645633419,129.3576294856,2871364,,"관광,음식점",,,,,,,[],
간절바당,울산광역시,35.3467035733,129.3224552675,2848963,,"관광,음식점",,,,,,,[],
갈담부대찌개,경기도,37.3211402549,127.2432761204,2514616,,"관광,음식점",,,,,,,[],
갈릴리농원 본관,경기도,37.8355604177,126.7457124396,2735333,,"관광,음식점",,,,,,,[],
갈릴리회집,강원특별자치도,38.2264436798,128.5876049279,626353,,"관광,음식점",,,,,,,[],
갈마가든,충청북도,36.8893174561,127.9838966173,2766514,,"관광,음식점",,,,,,,[],
갈마짬뽕,대전광역시,36.3553592101,127.3683916032,2899643,,"관광,음식점",,,,,,,[],
갈매골순두부,경기도,37.6218501328,127.1071216167,2850392,,"관광,음식점",,,,,,,[],
갈매기다방,강원특별자치도,37.870373343,128.8430040037,2685459,,"관광,음식점",,,,,,,[],
갈매기식당,전라남도,35.3601484085,126.4473967845,2876625,,"관광,음식점",,,,,,,[],
갈매기횟집,강원특별자치도,38.2722044028,128.556050809,2874188,,"관광,음식점",,,,,,,[],
갈매기횟집,경상북도,35.7461256748,129.4867352071,2905383,,"관광,음식점",,,,,,,[],
갈밭식당,대전광역시,36.4277332081,127.4653476261,2580078,,"관광,음식점",,,,,,,[],
갈비가,서울특별시,37.5264158054,126.8982600224,2685364,,"관광,음식점",,,,,,,[],
갈비곳간,부산광역시,35.1599862176,129.0563669161,2607508,,"관광,음식점",,,,,,,[],
갈비도락,경기도,37.5549264219,127.209258673,2837603,,"관광,음식점",,,,,,,[],
갈비만 대구본점,대구광역시,35.8243321674,128.5237091503,2766502,,"관광,음식점",,,,,,,[],
갈비명가 소반,경상남도,35.2573309774,128.6081672485,2370833,,"관광,음식점",,,,,,,[],
갈비명가이상 돈암본관,서울특별시,37.6015259912,127.0236686891,2836651,,"관광,음식점",,,,,,,[],
갈비명가할머니집,경기도,38.0263661321,127.3688776584,699542,,"관광,음식점",,,,,,,[],
갈비본질 프리미엄,경기도,37.6508496562,126.6480432585,2863282,,"관광,음식점",,,,,,,[],
갈비사랑,서울특별시,37.482531716,127.0367458713,2860770,,"관광,음식점",,,,,,,[],
갈비생각 광릉수목원본점,경기도,37.778062677,127.1161552032,2853490,,"관광,음식점",,,,,,,[],
갈비장터,경기도,37.8269519529,127.1451122602,2854711,,"관광,음식점",,,,,,,[],
갈재산장,충청남도,36.6625956027,127.0205894836,2860438,,"관광,음식점",,,,,,,[],
갈촌126,강원특별자치도,37.3099491433,127.9611393078,3017600,,"관광,음식점",,,,,,,[],
갈치공장,제주특별자치도,33.5319348245,126.8509745258,2853435,,"관광,음식점",,,,,,,[],
갈치왕,제주특별자치도,33.2646847924,126.3907760719,2783304,,"관광,음식점",,,,,,,[],
갈치조림 토박이식당,경상북도,35.8523094677,129.2636461324,2838717,,"관광,음식점",,,,,,,[],
갈치조림기똥차게맛있는집,전라남도,34.6066309874,127.7867976769,2931185,,"관광,음식점",,,,,,,[],
갈풍집,경기도,37.2981254847,127.045880787,2848359,,"관광,음식점",,,,,,,[],
갈현냉면집,경기도,37.6229377314,126.8879026871,2873395,,"관광,음식점",,,,,,,[],
갈현동할머니떡볶이,서울특별시,37.6235354372,126.9187804084,2875276,,"관광,음식점",,,,,,,[],
감골식당,경기도,37.0803841335,127.0529473267,2681494,,"관광,음식점",,,,,,,[],
감꽃당,서울특별시,37.5738480486,126.9900725369,2622715,,"관광,음식점",,,,,,,[],
감나무집,부산광역시,35.2442128801,129.0557979895,849941,,"관광,음식점",,,,,,,[],
감나무집,대구광역시,35.716696417,128.6367549604,2841682,,"관광,음식점",,,,,,,[],
감나무집,강원특별자치도,37.4474951083,129.1634632686,2877949,,"관광,음식점",,,,,,,[],
감나무집 계룡점,충청남도,36.2898145452,127.2460682043,2869265,,"관광,음식점",,,,,,,[],
감나무집기사식당,서울특별시,37.561950988,126.9219151974,2843816,,"관광,음식점",,,,,,,[],
감내맛집,부산광역시,35.0989644052,129.0093365624,2484386,,"관광,음식점",,,,,,,[],
감동식당,서울특별시,37.6617086556,127.0665963946,2833002,,"관광,음식점",,,,,,,[],
감따남,제주특별자치도,33.2620894948,126.4946032358,2854455,,"관광,음식점",,,,,,,[],
감로다원,강원특별자치도,37.7167114649,128.6019054887,2795303,,"관광,음식점",,,,,,,[],
감로수식당,경상남도,34.8860339368,128.6212982681,2912022,,"관광,음식점",,,,,,,[],
감미옥,서울특별시,37.5704652174,126.9961359696,2652929,,"관광,음식점",,,,,,,[],
감성식탁,경기도,37.289109595,127.6446101509,2781669,,"관광,음식점",,,,,,,[],
감자네,강원특별자치도,38.0841608395,128.1860902759,627582,,"관광,음식점",,,,,,,[],
감자마을,경기도,36.9885875264,127.1162524789,2681503,,"관광,음식점",,,,,,,[],
감자바우식당,강원특별자치도,37.7530768644,128.8970944271,2670841,,"관광,음식점",,,,,,,[],
감자아일랜드,강원특별자치도,37.9074535946,127.7429637105,2826906,,"관광,음식점",,,,,,,[],
감자적본부,강원특별자치도,37.7620461009,128.9396208746,2868869,,"관광,음식점",,,,,,,[],
감천 아지매 밥집,부산광역시,35.0938066405,129.0088589663,2484393,,"관광,음식점",,,,,,,[],
감치래비빔국수,경기도,37.3463735088,127.0925140869,2844797,,"관광,음식점",,,,,,,[],
감포면옥,서울특별시,37.6515064974,127.0352051042,2834495,,"관광,음식점",,,,,,,[],
감포이견대카페,경상북도,35.7454007193,129.4847381802,2905411,,"관광,음식점",,,,,,,[],
감포이견대횟집,경상북도,35.7460395377,129.4848242654,2905427,,"관광,음식점",,,,,,,[],
감포참가자미,부산광역시,35.1383498379,129.0610587668,2869158,,"관광,음식점",,,,,,,[],
갑기회관 본점,전북특별자치도,35.8525897317,127.1043118952,2891323,,"관광,음식점",,,,,,,[],
갑돌갈비,충청북도,36.173273469,127.7802292626,2835404,,"관광,음식점",,,,,,,[],
갑동숯골냉면,대전광역시,36.3607960991,127.2906095269,1923993,,"관광,음식점",,,,,,,[],
갑동숯불민물장어,대전광역시,36.3614904413,127.2893207348,2899380,,"관광,음식점",,,,,,,[],
갑산면옥,경기도,37.554776425,127.2084670831,2652735,,"관광,음식점",,,,,,,[],
갑순네한방오리,전라남도,34.9564282083,127.483401478,2688008,,"관광,음식점",,,,,,,[],
갑오삼계탕 본점,경상남도,35.1917863058,128.8016104654,2847736,,"관광,음식점",,,,,,,[],
갑오징어와코다리(청수골갑오징어와코다리),충청북도,37.0419072775,127.4757713143,2767298,,"관광,음식점",,,,,,,[],
갑을식당,경상남도,35.5175441843,127.7264627574,2843633,,"관광,음식점",,,,,,,[],
갑을원한옥카페,전라남도,35.2406800581,127.0290759761,845428,,"관광,음식점",,,,,,,[],
갑짬뽕,경기도,37.2755779782,127.1941874129,2742192,,"관광,음식점",,,,,,,[],
값진식육,서울특별시,37.5190803938,126.8896998979,2851590,,"관광,음식점",,,,,,,[],
갓덴스시 강남,서울특별시,37.4988880116,127.029021112,2685274,,"관광,음식점",,,,,,,[],
갓버터도나스,전라남도,34.7410067395,127.7359070479,2923399,,"관광,음식점",,,,,,,[],
갓파스시,부산광역시,35.1885918827,129.0853802745,2774857,,"관광,음식점",,,,,,,[],
갓포아키 도산공원점,서울특별시,37.5230742215,127.0362419924,2869782,,"관광,음식점",,,,,,,[],
갓포준 x 에스테반,서울특별시,37.52425448,127.0273372138,2869794,,"관광,음식점",,,,,,,[],
강가네한다리이향갈비 본점,경기도,37.5819579477,127.1293651728,2846694,,"관광,음식점",,,,,,,[],
강가촌,강원특별자치도,37.7014988643,127.6950463785,135282,,"관광,음식점",,,,,,,[],
강경숯불바베큐,경기도,37.8294876595,126.9857656401,2788258,,"관광,음식점",,,,,,,[],
강경해물칼국수,충청남도,36.157520077,127.0154423627,2744546,,"관광,음식점",,,,,,,[],
강계봉진막국수,경기도,37.4032390852,127.5489738547,133184,,"관광,음식점",,,,,,,[],
강나루,전북특별자치도,36.0163167003,127.6446650253,1014287,,"관광,음식점",,,,,,,[],
강나루횟집,전북특별자치도,35.598074293,127.109037534,2837920,,"관광,음식점",,,,,,,[],
강남가든,전라남도,34.8131236157,126.4166406665,2670270,,"관광,음식점",,,,,,,[],
강남구이나라,경상북도,36.5567753646,128.7497711895,2679210,,"관광,음식점",,,,,,,[],
강남진해장,서울특별시,37.4995434958,127.0292766253,2871478,,"관광,음식점",,,,,,,[],
강남집,전라남도,34.7636307887,127.6668652904,2871686,,"관광,음식점",,,,,,,[],
강남촌,강원특별자치도,37.7428308051,128.8959504016,2685302,,"관광,음식점",,,,,,,[],
강대박,충청북도,36.2697901167,127.6186826849,2767297,,"관광,음식점",,,,,,,[],
강동반상,서울특별시,37.5498569527,127.1753646796,2839494,,"관광,음식점",,,,,,,[],
강동분식,강원특별자치도,37.7520492159,128.8976138562,2687772,,"관광,음식점",,,,,,,[],
강동해물찜해천탕,서울특별시,37.5323083258,127.1385935255,2839510,,"관광,음식점",,,,,,,[],
강릉 초당찰떡,강원특별자치도,37.7914644382,128.9149249652,2930172,,"관광,음식점",,,,,,,[],
강릉가자,강원특별자치도,37.7544822152,128.8949251342,2685464,,"관광,음식점",,,,,,,[],
강릉감자옹심,강원특별자치도,37.7564680954,128.894869522,133817,,"관광,음식점",,,,,,,[],
강릉경포물회,강원특별자치도,37.8118895353,128.8986757963,2674265,,"관광,음식점",,,,,,,[],
강릉궁짬뽕,강원특별자치도,37.7890065655,128.9239547835,2868904,,"관광,음식점",,,,,,,[],
강릉뚝배기,강원특별자치도,37.7402474791,128.8809990508,2685282,,"관광,음식점",,,,,,,[],
강릉마초루,강원특별자치도,37.7532795626,128.8942141239,2687722,,"관광,음식점",,,,,,,[],
강릉불고기 본점,강원특별자치도,37.7492007587,128.9598138987,2930038,,"관광,음식점",,,,,,,[],
강릉샌드,강원특별자치도,37.7550711112,128.8987858794,2891818,,"관광,음식점",,,,,,,[],
강릉샌드 본점,강원특별자치도,37.7528324905,128.8992609058,3019876,,"관광,음식점",,,,,,,[],
강릉생태막회집,서울특별시,37.5270851577,126.8974572985,2685359,,"관광,음식점",,,,,,,[],
강릉엄지네꼬막집,강원특별자치도,37.7663533009,128.9070486753,2670860,,"관광,음식점",,,,,,,[],
강릉유환식당,강원특별자치도,37.7844431324,128.920291366,2868923,,"관광,음식점",,,,,,,[],
강릉집,경기도,37.6574649455,126.7702485676,2891383,,"관광,음식점",,,,,,,[],
강릉짬뽕순두부,경기도,37.3408725238,126.6888842725,2751123,,"관광,음식점",,,,,,,[],
강릉짬뽕순두부 강릉본점,강원특별자치도,37.7926615717,128.917483031,2905170,,"관광,음식점",,,,,,,[],
강릉짬뽕순두부 동화가든 본점,강원특별자치도,37.7912255723,128.9146972153,623223,,"관광,음식점",,,,,,,[],
강릉참치,강원특별자치도,37.7644251024,128.8740628172,2685305,,"관광,음식점",,,,,,,[],
강릉커피빵 본점,강원특별자치도,37.7964888941,128.9168301932,2891837,,"관광,음식점",,,,,,,[],
강릉풍년갈비,강원특별자치도,37.7851735851,128.9193330961,2845698,,"관광,음식점",,,,,,,[],
강릉한우마크나인,강원특별자치도,37.7660339038,128.9076041907,2995934,,"관광,음식점",,,,,,,[],
강림순대,강원특별자치도,37.3806942392,128.1360270228,133786,,"관광,음식점",,,,,,,[],
강마을다람쥐,경기도,37.4929405071,127.2829343027,1920538,,"관광,음식점",,,,,,,[],
강문가,강원특별자치도,37.8038572109,128.902761788,2905190,,"관광,음식점",,,,,,,[],
강문달카페,강원특별자치도,37.7959417503,128.9176218056,3458062,,"관광,음식점",,,,,,,[],
강문떡갈비,강원특별자치도,37.7951529531,128.9176440503,2905205,,"관광,음식점",,,,,,,[],
강문어화횟집,강원특별자치도,37.794530825,128.9187745232,2685330,,"관광,음식점",,,,,,,[],
강문해물칼국수,강원특별자치도,37.7952529338,128.9172440831,2685468,,"관광,음식점",,,,,,,[],
강민주의들밥 본점,경기도,37.2214984781,127.3678343259,135454,,"관광,음식점",,,,,,,[],
강박사냉면숯불갈비,충청북도,37.1487695571,128.208171776,2671150,,"관광,음식점",,,,,,,[],
강변가든,전북특별자치도,35.9988763422,127.6066466527,133229,,"관광,음식점",,,,,,,[],
강변손두부,경기도,37.5763016184,127.2037974482,2862170,,"관광,음식점",,,,,,,[],
강변식당,강원특별자치도,37.6071932349,128.4389429572,2777869,,"관광,음식점",,,,,,,[],
강변장어,전라남도,34.8926635901,127.5089425217,686331,,"관광,음식점",,,,,,,[],
강변횟집,강원특별자치도,38.0961433392,127.7756689748,133487,,"관광,음식점",,,,,,,[],
강산막국수,강원특별자치도,37.1554640814,128.983721563,2925546,,"관광,음식점",,,,,,,[],
강산매운탕,세종특별자치시,36.5128132157,127.3579715849,2869690,,"관광,음식점",,,,,,,[],
강산숯불닭갈비막국수,강원특별자치도,37.9304293643,127.778557007,2913332,,"관광,음식점",,,,,,,[],
강성면옥,경상북도,36.1268874021,128.105015571,2902003,,"관광,음식점",,,,,,,[],
강성횟집,경상남도,34.8315833765,128.714877688,2753311,,"관광,음식점",,,,,,,[],
강쇠낙지마을,충청북도,36.6079093573,127.4415614811,2856926,,"관광,음식점",,,,,,,[],
강수사,서울특별시,37.5714167743,126.9342193638,2900328,,"관광,음식점",,,,,,,[],
강원막국수,경기도,37.6038715774,126.7923702784,2860557,,"관광,음식점",,,,,,,[],
강원수산횟집,강원특별자치도,37.3430221851,128.5031423215,2787227,,"관광,음식점",,,,,,,[],
강원옥 찹쌀떡,강원특별자치도,37.7919199464,128.9152082589,3448288,,"관광,음식점",,,,,,,[],
강원토종삼계탕,경기도,37.4895175686,126.7564350971,2742157,,"관광,음식점",,,,,,,[],
강원한우정육식당,강원특별자치도,38.0791721102,128.0179335117,2913429,,"관광,음식점",,,,,,,[],
강원횟집,강원특별자치도,37.9451191407,128.7868845282,2903512,,"관광,음식점",,,,,,,[],
강의리추어탕,전라남도,35.2645807925,126.9043003018,2839811,,"관광,음식점",,,,,,,[],
강이다,경기도,37.5505122828,127.3202625949,2842754,,"관광,음식점",,,,,,,[],
강진만갯벌탕,전라남도,34.6403545044,126.77470773,2871576,,"관광,음식점",,,,,,,[],
