name,region,lat,lon,contentid,image_url,tags,checkin_time,checkout_time,room_count,parking,facilities,detailed_keywords,keywords
고흐와 해바라기,강원특별자치도,37.6981217506,127.7097007019,777162,,"관광,숙박",,,,,,[],
곡성강빛마을펜션,전라남도,35.1414961238,127.3138311326,2650770,,"관광,숙박",,,,,,[],
골드브라운호텔,광주광역시,35.1447806716,126.9179409931,3044523,,"관광,숙박",,,,,,[],
골드코스트호텔 인천,인천광역시,37.402493486,126.7079891583,3049916,,"관광,숙박",,,,,,[],
골든리버호텔,경기도,37.4477052284,126.8828497488,3081264,,"관광,숙박",,,,,,[],
골든비즈니스호텔,경상남도,35.1778370506,128.1403742084,3081232,,"관광,숙박",,,,,,[],
골든튤립 호텔 남강,경상남도,35.1916150997,128.0865896708,2664597,,"관광,숙박",,,,,,[],
골든파크 호텔,전라남도,34.7435344863,127.7504446011,1624188,,"관광,숙박",,,,,,[],
곰펜션,강원특별자치도,37.7023181112,127.6895135236,628690,,"관광,숙박",,,,,,[],
공방스테이,강원특별자치도,38.3161126498,128.5290796659,3068031,,"관광,숙박",,,,,,[],
공주한옥마을,충청남도,36.4649420636,127.1082758351,1867806,,"관광,숙박",,,,,,[],
관광펜션 시실리(평창시실리펜션),강원특별자치도,37.6986597858,128.5504134632,2569016,,"관광,숙박",,,,,,[],
관음사가는길펜션,제주특별자치도,33.4375488373,126.5544690871,2486105,,"관광,숙박",,,,,,[],
광림모텔,강원특별자치도,38.1839433186,128.600293992,137324,,"관광,숙박",,,,,,[],
광명JS부티크호텔,경기도,37.4743241106,126.8688780525,3081237,,"관광,숙박",,,,,,[],
광장호텔,부산광역시,35.1162158418,129.0413666394,142874,,"관광,숙박",,,,,,[],
광주 아우라 비즈니스 호텔,광주광역시,35.1383348473,126.7928938784,2701047,,"관광,숙박",,,,,,[],
교대게스트하우스,서울특별시,37.4933329219,127.0190443994,2528117,,"관광,숙박",,,,,,[],
구례 자연드림파크 휴펜션,전라남도,35.2732079973,127.4141827985,2555815,,"관광,숙박",,,,,,[],
