Aㅁid,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,고성명태축제,강원특별자치도 고성군 거진읍 대대리,,38.442240937,128.4550074559,421977,"축제,인문",,[]
,고싸움놀이축제,광주광역시 남구 고싸움로 2,,35.0696294584,126.8371305664,292950,"축제,인문",,[]
,고양 독서대전,경기도 고양시 일산동구 중앙로 1286 (마두동),,37.6610284652,126.7728121221,3393488,"축제,인문",,[]
,고양 동물교감치유 문화제,경기도 고양시 일산동구 중앙로 1271-4 (장항동),,37.6579815492,126.7700763468,3025858,"축제,인문",,[]
,고양 푸드앤비어페스티벌,경기도 고양시 일산동구 중앙로 1305-56 (장항동),,37.661081157,126.7683208644,2755115,"축제,인문",,[]
,고양가을꽃축제,경기도 고양시 일산동구 호수로 595,,37.6538792239,126.7686654803,1725993,"축제,인문",,[]
,고양국제꽃박람회,경기도 고양시 일산동구 호수로 595,,37.6539736577,126.7686849202,141799,"축제,인문",,[]
,고양행주문화제,경기도 고양시 덕양구 행주로15번길 89 (행주외동),,37.60048088,126.8246035434,530450,"축제,인문",,[]
,고양행주한우 숯불구이축제,경기도 고양시 덕양구 원당로 16 (주교동),,37.6547247137,126.8327790436,3383613,"축제,인문",,[]
,고양호수예술축제,경기도 고양시 일산동구 호수로 595 (장항동),,37.6553373919,126.7689209714,1100492,"축제,인문",,[]
,고창 벚꽃축제,전북특별자치도 고창군 고창읍 석정2로 171,,35.4315952113,126.7398828946,2952761,"축제,인문",,[]
,고창 복분자와 수박축제,전북특별자치도 고창군 아산면 선운사로 242-86,,35.4995514576,126.5790260407,738857,"축제,인문",,[]
,고창 치유문화축제,전북특별자치도 고창군 고창읍 읍내리,,35.4299586954,126.7048943772,3030740,"축제,인문",,[]
,고창 핑크뮬리 축제,전북특별자치도 고창군 부안면 복분자로 307,,35.5027352266,126.6264384089,2667307,"축제,인문",,[]
,고창갯벌축제,전북특별자치도 고창군 애향갯벌로 320 갯벌체험학습장,,35.5302941195,126.5153781572,1835137,"축제,인문",,[]
,고창국가유산야행,전북특별자치도 고창군 고창읍 읍내리,,35.4299836923,126.704877711,3489042,"축제,인문",,[]
,고창농악 꽃대림축제,전북특별자치도 고창군 성송면 향산1길 106,,35.3835489835,126.6404457117,3339982,"축제,인문",,[]
,고창모양성제,전북특별자치도 고창군 고창읍 모양성로 11,,35.4331888616,126.7035138626,604454,"축제,인문",,[]
,고창청농원 라벤더 축제,전북특별자치도 고창군 공음면 청천길 41-27,,35.3734178114,126.5351164345,2719229,"축제,인문",,[]
,고창청농원 핑크뮬리시즌,전북특별자치도 고창군 공음면 청천길 41-27,,35.3734178114,126.5351164345,2740109,"축제,인문",,[]
,고창청보리밭 축제,전북특별자치도 고창군 공음면 학원농장길 150,,35.3754177213,126.543290658,511801,"축제,인문",,[]
,고흥우주항공축제,전라남도 고흥군 봉래면 하반로 490,,34.4540350904,127.5182610504,1591019,"축제,인문",,[]
,고흥유자축제,전라남도 고흥군 풍양면 한동리,,34.5751278163,127.2326774665,2872215,"축제,인문",,[]
,곡성세계장미축제,전라남도 곡성군 오곡면 기차마을로 232,,35.277416799,127.3080309475,1624017,"축제,인문",,[]
,곡성심청어린이대축제,전라남도 곡성군 오곡면 기차마을로 232,,35.277416799,127.3080309475,1322668,"축제,인문",,[]
