id,name,region,overview,latitude,longitude,contentid,tags,image_url,detailed_keywords
,갤러리어클락,경기도 파주시 회동길 390,,37.7178732145,126.6937760801,2926402,"쇼핑,쇼핑",,[]
,갤러리에이엠 가로수,서울특별시 강남구 논현로159길 66 (신사동),,37.5216491514,127.0231293374,2901673,"쇼핑,쇼핑",,[]
,갤럭시,부산광역시 기장군 기장군 기장해안로 147,,35.1922521684,129.2128079785,2903693,"쇼핑,쇼핑",,[]
,갤럭시,서울특별시 중구 장충단로13길 20 (을지로6가)6층,,37.5687878415,127.0076821872,3306920,"쇼핑,쇼핑",,[]
,갤럭시 AK 분당점,경기도 성남시 분당구 황새울로360번길 42,,37.3847946157,127.123715726,2918625,"쇼핑,쇼핑",,[]
,갤럭시 AK 수원점,경기도 수원시 팔달구 덕영대로 924,,37.266100609,127.0006857844,2924770,"쇼핑,쇼핑",,[]
,갤럭시 갤러리아 대전점,대전광역시 서구 대덕대로 211,,36.3520347639,127.3781824843,2926580,"쇼핑,쇼핑",,[]
,갤럭시 라이프스타일,경기도 고양시 일산서구 호수로 817 (대화동),,37.6686077579,126.7514777471,3305424,"쇼핑,쇼핑",,[]
,갤럭시 롯데 강남점,서울특별시 강남구 도곡로 401,,37.4967859168,127.0534550587,2925676,"쇼핑,쇼핑",,[]
,갤럭시 롯데 관악점,서울특별시 관악구 봉천로 209,,37.4905482278,126.9249974851,2926574,"쇼핑,쇼핑",,[]
,갤럭시 롯데 광복점,부산광역시 중구 중앙대로 2,,35.0983538674,129.0367814147,2917484,"쇼핑,쇼핑",,[]
,갤럭시 롯데 김포점,서울특별시 강서구 하늘길 38,,37.5668621822,126.8029675746,2922404,"쇼핑,쇼핑",,[]
,갤럭시 롯데 노원점,서울특별시 노원구 동일로 1414,,37.6553315254,127.0614081608,2917614,"쇼핑,쇼핑",,[]
,갤럭시 롯데 미아점,서울특별시 강북구 도봉로 62,,37.6146468109,127.0305315802,2926576,"쇼핑,쇼핑",,[]
,갤럭시 롯데 본점,서울특별시 중구 을지로 30,,37.5654016461,126.981045821,2922431,"쇼핑,쇼핑",,[]
,갤럭시 롯데 분당점,경기도 성남시 분당구 황새울로200번길 45 4층,,37.3785007322,127.1143334228,2918630,"쇼핑,쇼핑",,[]
,갤럭시 롯데 센텀시티점,부산광역시 해운대구 센텀남대로 59 6층,,35.1698920451,129.131096255,2917370,"쇼핑,쇼핑",,[]
,갤럭시 롯데 스타시티점,서울특별시 광진구 능동로 92,,37.5390535504,127.0712300203,2918406,"쇼핑,쇼핑",,[]
,갤럭시 롯데 안산점,경기도 안산시 단원구 고잔1길 12,,37.3180555223,126.8345133215,2903218,"쇼핑,쇼핑",,[]
,갤럭시 롯데 인천터미널점,인천광역시 미추홀구 연남로 35,,37.4422082182,126.7023441253,2922966,"쇼핑,쇼핑",,[]
,갤럭시 롯데 잠실점,서울특별시 송파구 올림픽로 240 5층,,37.5123821225,127.0976311526,2917595,"쇼핑,쇼핑",,[]
,갤럭시 롯데 중동점,경기도 부천시 원미구 길주로 300,,37.5025941622,126.7753246763,2918620,"쇼핑,쇼핑",,[]
,갤럭시 롯데 평촌점,경기도 안양시 동안구 시민대로 180 4층,,37.3900381258,126.950436882,2918608,"쇼핑,쇼핑",,[]
,갤럭시 롯데몰 수원점,경기도 수원시 권선구 세화로 134,,37.2642285439,126.9973083655,2925515,"쇼핑,쇼핑",,[]
,갤럭시 롯데아울렛 김해점,경상남도 김해시 장유로 469,,35.185101457,128.8296220926,2917374,"쇼핑,쇼핑",,[]
,갤럭시 롯데아울렛 부여점,충청남도 부여군 규암면 백제문로 387,,36.307259306,126.9019791164,2917528,"쇼핑,쇼핑",,[]
,갤럭시 롯데아울렛 이천점,경기도 이천시 호법면 프리미엄아울렛로 177-74,,37.2422772151,127.400044712,2922459,"쇼핑,쇼핑",,[]
,갤럭시 롯데아울렛 파주점,경기도 파주시 회동길 390,,37.7178732145,126.6937760801,2918486,"쇼핑,쇼핑",,[]
,갤럭시 빨질렐리 현대가든파이브,"서울특별시 송파구 충민로 66, 4층",,37.4776672007,127.1249768726,2924240,"쇼핑,쇼핑",,[]
,갤럭시 신세계강남점,서울특별시 서초구 신반포로 176,,37.5056062193,127.0035815712,2922392,"쇼핑,쇼핑",,[]
,갤럭시 신세계백화점 김해점,경상남도 김해시 김해대로 2232,,35.2293778284,128.8722699469,2929094,"쇼핑,쇼핑",,[]
,갤럭시 신세계아울렛 부산점,부산광역시 기장군 장안읍 정관로 1133,,35.3238517233,129.2349940728,2917296,"쇼핑,쇼핑",,[]
,갤럭시 신세계아울렛 파주점,경기도 파주시 필승로 200 422호,,37.7694061453,126.6965243749,2918546,"쇼핑,쇼핑",,[]
,갤럭시 현대 디큐브,서울특별시 구로구 경인로 662,,37.5089148857,126.8884169673,2928402,"쇼핑,쇼핑",,[]
,갤럭시 현대 목동점,서울특별시 양천구 목동동로257,,37.5263292843,126.8747288364,2922391,"쇼핑,쇼핑",,[]
,갤럭시 현대 중동점,경기도 부천시 원미구 길주로 180,,37.5043714984,126.7620980542,2926570,"쇼핑,쇼핑",,[]
,갤럭시 현대 천호점,서울특별시 강동구 천호대로 1005,,37.5390267349,127.1244557316,2903096,"쇼핑,쇼핑",,[]
,갤럭시 현대아울렛 김포점,경기도 김포시 아라육로152번길 100,,37.5972888829,126.7852461144,2925830,"쇼핑,쇼핑",,[]
,갤럭시 현대아울렛 송도점,인천광역시 연수구 송도국제대로 123 2층,,37.3828032236,126.6579998144,2928141,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 롯데 강남점,서울특별시 강남구 도곡로 401,,37.4967859168,127.0534550587,2927063,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 롯데 관악점,서울특별시 관악구 봉천로 209,,37.4905482278,126.9249974851,2926573,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 롯데 광복점,부산광역시 중구 중앙대로 2,,35.0983538674,129.0367814147,2922433,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 롯데 구리점,경기도 구리시 경춘로 261,,37.6027446825,127.1438104869,2926529,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 롯데 부산점,부산광역시 부산진구 가야대로 772 4층,,35.1573337296,129.0559892441,2917424,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 롯데 분당점,경기도 성남시 분당구 황새울로200번길 45 4층,,37.3785007322,127.1143334228,2918632,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 롯데 스타시티점,서울특별시 광진구 능동로 92,,37.5390535504,127.0712300203,2918393,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 롯데 안산점,경기도 안산시 단원구 고잔1길 12,,37.3180555223,126.8345133215,2903176,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 롯데 청량리점,서울특별시 동대문구 왕산로 214 5층,,37.5805510796,127.0474754499,2918409,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 분당점,경기도 성남시 분당구 황새울로360번길 42 4층,,37.3847946157,127.123715726,2918627,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 수원점,경기도 수원시 팔달구 덕영대로 924,,37.266100609,127.0006857844,2924772,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 신세계 강남점,서울특별시 서초구 신반포로 176,,37.5056062193,127.0035815712,2930411,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 신세계 대구점,대구광역시 동구 동부로 149,,35.8779835934,128.6292150324,2929314,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 신세계 의정부점,경기도 의정부시 평화로 525,,37.7389465233,127.0463265904,2918713,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 현대 대구점,대구광역시 중구 달구벌대로 2077,,35.8666702733,128.590654856,2917487,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 현대 목동점,서울특별시 양천구 목동동로257,,37.5263292843,126.8747288364,2922390,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 현대 미아점,서울특별시 성북구 동소문로 315,,37.6084530555,127.0287930253,2922660,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일 현대 충청점,충청북도 청주시 흥덕구 직지대로 308,,36.6449131759,127.4265784728,2917542,"쇼핑,쇼핑",,[]
,갤럭시라이프스타일신세계센텀시티점,부산광역시 해운대구광역시 해운대구광역시 센텀남대로 35 5층,,35.1688560217,129.129551973,2914261,"쇼핑,쇼핑",,[]
,갤빈클라인 진,인천광역시 연수구 국제대로123,,37.3828032236,126.6579998144,2916278,"쇼핑,쇼핑",,[]
,갭키즈 스타필드고양,경기도 고양시 덕양구 고양대로 1955,,37.6470294966,126.8947930433,2926693,"쇼핑,쇼핑",,[]
,거북시장,인천광역시 서구 거북로 115,,37.5032617447,126.6746421748,2779976,"쇼핑,쇼핑",,[]
,거제고현시장,경상남도 거제시 거제중앙로17길 6,,34.8854673826,128.6240397115,2783745,"쇼핑,쇼핑",,[]
,거제시장,부산광역시 연제구 거제시장로14번길 28,,35.1817146431,129.0728176676,1608608,"쇼핑,쇼핑",,[]
,거진전통시장,강원특별자치도 고성군 거진읍 거진시장길 17-11,,38.4479596904,128.4538101632,132784,"쇼핑,쇼핑",,[]
,"거창장 (1, 6일)",경상남도 거창군 거창읍 시장길 54,,35.6862284193,127.9137222847,132126,"쇼핑,쇼핑",,[]
,게스,경기도 수원시 권선구 세화로134,,37.2642285439,126.9973083655,2926789,"쇼핑,쇼핑",,[]
,게스,경기도 이천시 호법면 프리미엄아울렛로 177-74 롯데프리미엄아울렛,,37.2422772151,127.400044712,2926986,"쇼핑,쇼핑",,[]
,게스,경기도 고양시 일산서구 호수로 817 (대화동),,37.6686077579,126.7514777471,3305429,"쇼핑,쇼핑",,[]
,게스,서울특별시 용산구 한강대로 405 (동자동),,37.5548915897,126.971746966,3305814,"쇼핑,쇼핑",,[]
,게스 2001아울렛 중계,서울특별시 노원구 동일로204가길 46 (중계동),,37.6413416033,127.0679274101,3306700,"쇼핑,쇼핑",,[]
,게스 광복,부산광역시 중구 광복중앙로 5,,35.0997869355,129.0310902035,2905870,"쇼핑,쇼핑",,[]
,게스 뉴코아 평촌,경기도 안양시 동안구 동안로 119 (호계동),,37.3893465617,126.9516812325,3305913,"쇼핑,쇼핑",,[]
,게스 동성로,대구광역시 중구 동성로5길 22,,35.8677313587,128.5957210462,2915123,"쇼핑,쇼핑",,[]
,게스 두타,서울특별시 중구 장충단로 275,,37.5689100708,127.0088293006,2902395,"쇼핑,쇼핑",,[]
,게스 롯데광교,경기도 수원시 영통구 도청로 10,,37.2860687197,127.0554913633,2903844,"쇼핑,쇼핑",,[]
,게스 롯데광명,경기도 광명시 일직로 17,,37.4232469761,126.8839475563,2925713,"쇼핑,쇼핑",,[]
,게스 롯데동부산,부산광역시 기장군 기장해안로 147,,35.1922521684,129.2128079785,2902850,"쇼핑,쇼핑",,[]
,게스 롯데백화점평촌점,경기도 안양시 동안구 시민대로 180 5층,,37.3900381258,126.950436882,2923081,"쇼핑,쇼핑",,[]
,게스 롯데부여,충청남도 부여군 규암면 백제문로 387 롯데프리미엄아울렛,,36.307259306,126.9019791164,2931559,"쇼핑,쇼핑",,[]
,게스 롯데팩토리 가산,서울특별시 금천구 벚꽃로 278 (가산동),,37.4795432303,126.8846459143,3305477,"쇼핑,쇼핑",,[]
,게스 모다아울렛 인천점,인천광역시 서구 북항로32번안길 50 (원창동),,37.5099716004,126.6477388876,3306078,"쇼핑,쇼핑",,[]
,게스 수원역Ak,경기도 수원시 팔달구 덕영대로924,,37.266100609,127.0006857844,2918717,"쇼핑,쇼핑",,[]
,게스 스퀘어원점,인천광역시 연수구 청능대로 210,,37.4060509763,126.6836357236,2929245,"쇼핑,쇼핑",,[]
,게스 스타필드 하남점,경기도 하남시 미사대로 750,,37.5454888917,127.2237576241,2928454,"쇼핑,쇼핑",,[]
,게스 신세계부산,"부산광역시 기장군 장안읍 정관로 1133, 235호 (부산프리미엄아울렛)",,35.3238517233,129.2349940728,2930010,"쇼핑,쇼핑",,[]
,게스 여주아울렛,경기도 여주시 명품로 360 2118호,,37.2413784084,127.6123672104,2924480,"쇼핑,쇼핑",,[]
,게스 제주칠성,제주특별자치도 제주시 중앙로 39(일도일동),,33.5148203706,126.5249226792,2925674,"쇼핑,쇼핑",,[]
,게스 현대김포,"경기도 김포시 고촌읍 아라육로 152번길 100 (3층, 616호)",,37.5972888829,126.7852461144,2902933,"쇼핑,쇼핑",,[]
,게스 현대동대문,서울특별시 중구 장충단로13길 20,,37.5687878415,127.0076821872,2911704,"쇼핑,쇼핑",,[]
,게스 현대송도,인천광역시 연수구 송도국제대로 123,,37.3828032236,126.6579998144,2929098,"쇼핑,쇼핑",,[]
,게스언더,강원특별자치도 원주시 봉화로1,,37.345730499,127.9276635071,2924334,"쇼핑,쇼핑",,[]
,게스이너웨어 모다 아울렛 춘천점,"강원특별자치도 춘천시 방송길 77 (온의동, 춘천 센트럴타워 푸르지오)",,37.8692353889,127.7198947231,3307225,"쇼핑,쇼핑",,[]
,게스진,서울특별시 영등포구 영중로 9 (영등포동4가),,37.5172308925,126.9055901684,3306540,"쇼핑,쇼핑",,[]
,게스키즈 롯데이천,경기도 이천시 호법면 프리미엄아울렛로 177-74 롯데프리미엄아울렛,,37.2422772151,127.400044712,2914013,"쇼핑,쇼핑",,[]
,게스키즈 신세계부산,부산광역시 기장군 정관로 1133,,35.3238517233,129.2349940728,2909556,"쇼핑,쇼핑",,[]
,겐조,서울특별시 영등포구 영중로 9 (영등포동4가),,37.5172308925,126.9055901684,3307010,"쇼핑,쇼핑",,[]
,겐조 롯데백화점 에비뉴엘 월드타워점,서울특별시 송파구 올림픽로 300¸ 3층,,37.5141653654,127.1040749597,2924211,"쇼핑,쇼핑",,[]
,겐조_롯데(아)파주점,경기도 파주시 회동길 390 (문발동),,37.7178732145,126.6937760801,2894215,"쇼핑,쇼핑",,[]
,겐조_롯데몰 동부산점,부산광역시 기장군 기장읍 기장해안로 147,,35.1922521684,129.2128079785,2894216,"쇼핑,쇼핑",,[]
,겐조_신세계첼시여주점,"경기도 여주시 명품로 360(상거동, 여주프리미엄아울렛)",,37.2413784084,127.6123672104,2905368,"쇼핑,쇼핑",,[]
,격포항 수산시장,전북특별자치도 부안군 변산면 격포중앙길 28-4,,35.6221884733,126.4703715269,1979610,"쇼핑,쇼핑",,[]
,견지동 불교용품거리,서울특별시 종로구 우정국로 55,,37.574478386,126.9819927,132205,"쇼핑,쇼핑",,[]
,"경기 안성장(2, 7일)",경기도 안성시 시장길 37 (서인동),,37.0066798606,127.270368613,131986,"쇼핑,쇼핑",,[]
,경남 하동군 으뜸상품홍보관,경상남도 하동군 하동읍 군청로 36,,35.0654039604,127.752480613,1343990,"쇼핑,쇼핑",,[]
,"경남관광기념품점 (구, 경남관광공예명품관)",경상남도 창원시 의창구 원이대로 362,,35.2384812071,128.657119036,1902811,"쇼핑,쇼핑",,[]
,경남관광기념품점 창원,경상남도 창원시 성산구 원이대로 362 창원컨벤션센터,,35.2382867979,128.6578550874,2906672,"쇼핑,쇼핑",,[]
,경동시장,서울특별시 동대문구 고산자로36길 3,,37.579089988,127.0391568047,948730,"쇼핑,쇼핑",,[]
,경산공설시장,경상북도 경산시 경안로31길 19 (서상동),,35.8208364718,128.735632261,132099,"쇼핑,쇼핑",,[]
,경안시장,경기도 광주시 경안로25번길 10-2,,37.4093830634,127.2572612381,2737267,"쇼핑,쇼핑",,[]
,경주 성동시장,경상북도 경주시 원화로281번길 11,,35.8464897643,129.2151477703,990516,"쇼핑,쇼핑",,[]
,경주 중앙시장,경상북도 경주시 금성로 295,,35.8439732229,129.2067541331,990539,"쇼핑,쇼핑",,[]
,경창시장,서울특별시 양천구 오목로9길 30 (신월동),,37.5248733216,126.842404046,2611310,"쇼핑,쇼핑",,[]
,"경화장 (3, 8일)",경상남도 창원시 진해구 경화시장로 37,,35.1570104028,128.6905433175,132384,"쇼핑,쇼핑",,[]
,계산시장,인천광역시 계양구 계산동 1040,,37.5401527832,126.7245254823,2766193,"쇼핑,쇼핑",,[]
,계양산전통시장,인천광역시 계양구 계양산로215번길 10,,37.548227132,126.7407515527,2766211,"쇼핑,쇼핑",,[]
,고궁마실,서울특별시 종로구 창경궁로 229,,37.5825082936,126.9978910234,2503117,"쇼핑,쇼핑",,[]
,고기리농장,경기도 용인시 수지구 호수로 11-4 (고기동),,37.3580994945,127.0683742827,3023080,"쇼핑,쇼핑",,[]
,고디바_광화문점,"서울특별시 종로구 세종대로 159(세종로,1층102호,2층,3층)",,37.5706565064,126.9763349907,2893631,"쇼핑,쇼핑",,[]
